TransactionID,Product,Category,Price,Quantity,Date,City,Promotion,CustomerAge,CustomerGender,PaymentMethod,CustomerSegment,TotalSales,average_sales, , 
19,Sunscreen,Treatment,15617.52,10,2022-04-23,Abuja,TRUE,62,Male,Credit Card,New,"$156,175.20","$78,087.60",,
20,Cleanser,Hydration,17030.92,2,2023-01-19,Kano,FALSE,50,Male,Credit Card,New,"$34,061.84","$17,030.92",,
21,Cleanser,Hydration,18523.32,10,2022-10-26,Abuja,FALSE,27,Female,Cash,New,"$185,233.20","$92,616.60",,
22,Moisturizer,Anti-Aging,12415.01,2,2023-04-10,Port Harcourt,FALSE,19,Female,Debit Card,Regular,"$24,830.02","$12,415.01",,
23,Sunscreen,Protection,7988.24,7,2022-05-03,Abuja,TRUE,41,Male,Credit Card,Regular,"$55,917.68","$27,958.84",,
24,Serum,Anti-Aging,15193.07,2,2022-09-03,Lagos,FALSE,20,Male,Credit Card,New,"$30,386.14","$15,193.07",,
25,Moisturizer,Protection,10212.35,1,2023-08-30,Kano,FALSE,46,Female,Cash,Regular,"$10,212.35","$5,106.18",,
26,Sunscreen,Hydration,1091.41,8,2022-10-18,Lagos,FALSE,38,Female,Credit Card,Regular,"$8,731.28","$4,365.64",,
27,Face Mask,Cleansing,13789.71,6,2022-04-16,Ibadan,TRUE,48,Male,Credit Card,New,"$82,738.26","$41,369.13",,
28,Serum,Protection,8669.3,2,2022-04-18,Ibadan,FALSE,32,Male,Credit Card,Regular,"$17,338.60","$8,669.30",,
29,Cleanser,Protection,19110.46,9,2022-06-02,Ibadan,TRUE,23,Male,Credit Card,New,"$171,994.14","$85,997.07",,
30,Face Mask,Hydration,3553.06,4,2023-08-13,Port Harcourt,FALSE,52,Female,Debit Card,New,"$14,212.24","$7,106.12",,
31,Moisturizer,Hydration,8176.68,6,2023-10-17,Kano,TRUE,63,Female,Debit Card,Regular,"$49,060.08","$24,530.04",,
32,Moisturizer,Hydration,18097.28,6,2023-01-05,Lagos,FALSE,39,Female,Credit Card,New,"$108,583.68","$54,291.84",,
33,Cleanser,Hydration,16263.48,9,2023-10-02,Abuja,FALSE,33,Female,Cash,Regular,"$146,371.32","$73,185.66",,
34,Sunscreen,Cleansing,10622.12,7,2023-03-16,Ibadan,FALSE,53,Female,Debit Card,New,"$74,354.84","$37,177.42",,
35,Serum,Cleansing,1343.78,9,2022-10-26,Lagos,FALSE,40,Male,Credit Card,Regular,"$12,094.02","$6,047.01",,
36,Face Mask,Hydration,5755.19,8,2022-12-30,Port Harcourt,TRUE,20,Male,Debit Card,Regular,"$46,041.52","$23,020.76",,
37,Face Mask,Cleansing,6813.77,7,2022-09-18,Abuja,FALSE,58,Male,Cash,Regular,"$47,696.39","$23,848.20",,
38,Sunscreen,Anti-Aging,13572.76,4,2023-12-14,Kano,TRUE,62,Female,Credit Card,New,"$54,291.04","$27,145.52",,
39,Moisturizer,Hydration,2865.36,9,2023-02-17,Ibadan,TRUE,27,Female,Debit Card,Regular,"$25,788.24","$12,894.12",,
40,Cleanser,Protection,19340.52,6,2023-01-22,Kano,TRUE,43,Male,Cash,Regular,"$116,043.12","$58,021.56",,
41,Face Mask,Protection,17477.25,9,2023-07-09,Lagos,TRUE,44,Female,Cash,Regular,"$157,295.25","$78,647.62",,
42,Face Mask,Treatment,6412.39,2,2023-04-21,Ibadan,TRUE,18,Male,Credit Card,Regular,"$12,824.78","$6,412.39",,
43,Serum,Cleansing,9259.06,9,2023-01-04,Kano,TRUE,46,Male,Debit Card,New,"$83,331.54","$41,665.77",,
44,Face Mask,Anti-Aging,7478.03,9,2023-10-14,Port Harcourt,TRUE,51,Female,Credit Card,New,"$67,302.27","$33,651.14",,
45,Cleanser,Anti-Aging,7614.47,2,2022-01-14,Port Harcourt,FALSE,22,Female,Debit Card,Regular,"$15,228.94","$7,614.47",,
46,Moisturizer,Cleansing,6779.29,9,2023-04-03,Abuja,TRUE,59,Male,Debit Card,Regular,"$61,013.61","$30,506.80",,
47,Moisturizer,Hydration,18375.8,8,2022-11-21,Kano,TRUE,35,Male,Debit Card,Regular,"$147,006.40","$73,503.20",,
48,Sunscreen,Cleansing,6388,10,2023-08-23,Kano,FALSE,44,Male,Credit Card,Regular,"$63,880.00","$31,940.00",,
49,Moisturizer,Treatment,17489.1,9,2023-08-17,Kano,TRUE,22,Female,Cash,New,"$157,401.90","$78,700.95",,
50,Face Mask,Cleansing,16517.13,10,2023-06-04,Kano,TRUE,25,Male,Cash,Regular,"$165,171.30","$82,585.65",,
51,Moisturizer,Treatment,4507.16,2,2022-10-15,Kano,TRUE,54,Male,Credit Card,New,"$9,014.32","$4,507.16",,
52,Cleanser,Hydration,5317.3,2,2023-01-10,Abuja,FALSE,53,Male,Credit Card,Regular,"$10,634.60","$5,317.30",,
53,Serum,Protection,13646.89,10,2023-12-02,Abuja,TRUE,55,Male,Credit Card,Regular,"$136,468.90","$68,234.45",,
54,Serum,Anti-Aging,9893.51,5,2023-07-06,Kano,FALSE,54,Male,Cash,Regular,"$49,467.55","$24,733.78",,
55,Sunscreen,Hydration,3083.16,10,2023-01-03,Port Harcourt,FALSE,28,Female,Credit Card,New,"$30,831.60","$15,415.80",,
56,Moisturizer,Hydration,3767.32,2,2022-07-12,Abuja,FALSE,34,Female,Cash,Regular,"$7,534.64","$3,767.32",,
57,Cleanser,Anti-Aging,7026.31,4,2023-07-10,Kano,FALSE,52,Female,Cash,New,"$28,105.24","$14,052.62",,
58,Moisturizer,Treatment,12536.86,6,2022-06-19,Port Harcourt,FALSE,43,Male,Debit Card,Regular,"$75,221.16","$37,610.58",,
59,Cleanser,Cleansing,18993.29,4,2022-05-24,Lagos,TRUE,36,Male,Debit Card,New,"$75,973.16","$37,986.58",,
60,Serum,Hydration,9029.14,4,2022-08-12,Ibadan,TRUE,41,Male,Debit Card,New,"$36,116.56","$18,058.28",,
61,Face Mask,Hydration,18603.28,10,2023-03-23,Lagos,FALSE,58,Female,Cash,Regular,"$186,032.80","$93,016.40",,
62,Face Mask,Cleansing,2893.18,4,2022-03-18,Ibadan,TRUE,30,Male,Credit Card,New,"$11,572.72","$5,786.36",,
63,Sunscreen,Anti-Aging,17459.49,8,2023-12-24,Ibadan,FALSE,55,Female,Cash,Regular,"$139,675.92","$69,837.96",,
64,Moisturizer,Protection,5949.28,5,2022-11-03,Port Harcourt,TRUE,25,Female,Cash,New,"$29,746.40","$14,873.20",,
65,Serum,Protection,6396.62,2,2023-02-16,Ibadan,TRUE,21,Female,Cash,New,"$12,793.24","$6,396.62",,
66,Moisturizer,Hydration,4151.3,2,2023-12-31,Port Harcourt,TRUE,36,Male,Cash,New,"$8,302.60","$4,151.30",,
67,Moisturizer,Cleansing,1569.18,4,2022-08-02,Kano,FALSE,22,Male,Credit Card,New,"$6,276.72","$3,138.36",,
68,Sunscreen,Treatment,2864.25,1,2023-09-02,Ibadan,TRUE,47,Female,Credit Card,New,"$2,864.25","$1,432.12",,
69,Serum,Protection,3277.3,1,2022-06-22,Kano,FALSE,32,Female,Debit Card,New,"$3,277.30","$1,638.65",,
70,Moisturizer,Cleansing,4688.85,8,2022-09-25,Ibadan,TRUE,18,Female,Debit Card,New,"$37,510.80","$18,755.40",,
71,Sunscreen,Protection,16762.26,2,2022-10-28,Port Harcourt,TRUE,47,Female,Debit Card,New,"$33,524.52","$16,762.26",,
72,Face Mask,Protection,1290.97,9,2022-08-24,Kano,FALSE,50,Male,Credit Card,Regular,"$11,618.73","$5,809.36",,
73,Sunscreen,Cleansing,8328.13,6,2023-02-14,Lagos,TRUE,25,Male,Debit Card,Regular,"$49,968.78","$24,984.39",,
74,Cleanser,Protection,18372.76,8,2023-02-28,Ibadan,TRUE,62,Female,Debit Card,New,"$146,982.08","$73,491.04",,
75,Face Mask,Anti-Aging,1290.43,8,2022-10-28,Lagos,TRUE,50,Female,Debit Card,New,"$10,323.44","$5,161.72",,
76,Face Mask,Protection,6883.37,9,2022-12-11,Lagos,TRUE,23,Female,Cash,Regular,"$61,950.33","$30,975.17",,
77,Sunscreen,Protection,9141.55,10,2023-02-17,Abuja,TRUE,54,Female,Debit Card,Regular,"$91,415.50","$45,707.75",,
78,Cleanser,Cleansing,11680.49,2,2023-04-11,Lagos,TRUE,27,Male,Debit Card,New,"$23,360.98","$11,680.49",,
79,Cleanser,Treatment,18494.54,10,2023-05-30,Abuja,TRUE,20,Male,Debit Card,Regular,"$184,945.40","$92,472.70",,
80,Cleanser,Treatment,10821.53,3,2022-04-29,Kano,FALSE,58,Male,Cash,Regular,"$32,464.59","$16,232.30",,
81,Serum,Anti-Aging,15060.76,8,2022-11-24,Abuja,FALSE,48,Male,Credit Card,New,"$120,486.08","$60,243.04",,
82,Cleanser,Anti-Aging,12739.08,7,2023-09-12,Lagos,TRUE,48,Female,Cash,Regular,"$89,173.56","$44,586.78",,
83,Cleanser,Protection,4909.24,3,2023-01-11,Port Harcourt,FALSE,39,Male,Cash,New,"$14,727.72","$7,363.86",,
84,Serum,Hydration,10665.09,2,2023-10-06,Abuja,FALSE,20,Male,Credit Card,New,"$21,330.18","$10,665.09",,
85,Serum,Treatment,2160.18,3,2023-03-14,Ibadan,TRUE,58,Female,Credit Card,New,"$6,480.54","$3,240.27",,
86,Moisturizer,Treatment,15715.54,2,2022-08-20,Port Harcourt,TRUE,44,Male,Debit Card,Regular,"$31,431.08","$15,715.54",,
87,Sunscreen,Treatment,4880.69,9,2022-02-28,Abuja,TRUE,57,Female,Credit Card,New,"$43,926.21","$21,963.10",,
88,Sunscreen,Treatment,17284.4,2,2023-08-31,Abuja,FALSE,63,Female,Cash,Regular,"$34,568.80","$17,284.40",,
89,Moisturizer,Protection,10761.66,1,2023-12-08,Ibadan,TRUE,33,Female,Cash,Regular,"$10,761.66","$5,380.83",,
90,Sunscreen,Anti-Aging,5780.81,3,2023-09-22,Lagos,FALSE,63,Male,Cash,Regular,"$17,342.43","$8,671.22",,
91,Face Mask,Hydration,16442.24,4,2023-04-02,Abuja,FALSE,21,Male,Debit Card,New,"$65,768.96","$32,884.48",,
92,Cleanser,Treatment,2273.05,10,2022-01-03,Abuja,TRUE,41,Male,Credit Card,Regular,"$22,730.50","$11,365.25",,
93,Sunscreen,Cleansing,1497.68,3,2023-03-10,Abuja,FALSE,39,Female,Debit Card,New,"$4,493.04","$2,246.52",,
94,Cleanser,Hydration,12328.87,6,2023-09-28,Lagos,FALSE,59,Female,Cash,New,"$73,973.22","$36,986.61",,
95,Face Mask,Treatment,17090.98,5,2022-11-22,Kano,FALSE,28,Female,Credit Card,New,"$85,454.90","$42,727.45",,
96,Face Mask,Protection,9595.58,4,2022-03-22,Abuja,FALSE,19,Female,Debit Card,New,"$38,382.32","$19,191.16",,
97,Sunscreen,Hydration,10541.37,8,2022-04-22,Abuja,FALSE,61,Female,Credit Card,Regular,"$84,330.96","$42,165.48",,
98,Serum,Cleansing,4983.53,4,2023-12-07,Ibadan,TRUE,48,Male,Debit Card,Regular,"$19,934.12","$9,967.06",,
99,Serum,Cleansing,14596.14,7,2022-11-27,Port Harcourt,FALSE,26,Male,Credit Card,New,"$102,172.98","$51,086.49",,
100,Serum,Cleansing,11191.22,1,2022-02-18,Kano,FALSE,41,Female,Debit Card,New,"$11,191.22","$5,595.61",,
101,Face Mask,Treatment,1933.65,2,2023-09-16,Ibadan,TRUE,42,Male,Cash,New,"$3,867.30","$1,933.65",,
102,Sunscreen,Treatment,16631.58,8,2023-05-24,Ibadan,TRUE,18,Male,Debit Card,New,"$133,052.64","$66,526.32",,
103,Moisturizer,Anti-Aging,5797.43,3,2022-08-15,Lagos,TRUE,39,Male,Cash,Regular,"$17,392.29","$8,696.15",,
104,Cleanser,Protection,10907.53,5,2022-06-24,Kano,FALSE,58,Female,Debit Card,Regular,"$54,537.65","$27,268.82",,
105,Moisturizer,Protection,7212.85,4,2022-04-08,Kano,TRUE,62,Female,Credit Card,New,"$28,851.40","$14,425.70",,
106,Cleanser,Hydration,3097.01,9,2023-06-30,Lagos,FALSE,43,Male,Credit Card,Regular,"$27,873.09","$13,936.54",,
107,Face Mask,Protection,17182.91,3,2023-11-30,Abuja,TRUE,65,Female,Credit Card,New,"$51,548.73","$25,774.37",,
108,Sunscreen,Protection,12868.16,1,2022-10-11,Ibadan,TRUE,34,Female,Cash,New,"$12,868.16","$6,434.08",,
109,Serum,Hydration,17113.25,4,2022-07-03,Port Harcourt,FALSE,45,Male,Cash,Regular,"$68,453.00","$34,226.50",,
110,Serum,Anti-Aging,3394.22,9,2022-05-17,Ibadan,FALSE,58,Male,Cash,Regular,"$30,547.98","$15,273.99",,
111,Moisturizer,Anti-Aging,13696.78,1,2023-01-01,Port Harcourt,TRUE,39,Male,Cash,Regular,"$13,696.78","$6,848.39",,
112,Serum,Protection,12550.73,6,2022-07-04,Ibadan,FALSE,20,Male,Credit Card,New,"$75,304.38","$37,652.19",,
113,Moisturizer,Protection,18967.66,5,2022-08-17,Port Harcourt,FALSE,46,Female,Credit Card,New,"$94,838.30","$47,419.15",,
114,Sunscreen,Protection,12031.86,2,2022-11-22,Abuja,TRUE,32,Female,Credit Card,Regular,"$24,063.72","$12,031.86",,
115,Serum,Hydration,6759.52,7,2023-10-06,Kano,FALSE,50,Male,Credit Card,Regular,"$47,316.64","$23,658.32",,
116,Sunscreen,Treatment,18760.8,9,2022-12-01,Kano,FALSE,56,Female,Credit Card,New,"$168,847.20","$84,423.60",,
117,Face Mask,Anti-Aging,17042.83,7,2022-11-03,Port Harcourt,TRUE,46,Male,Credit Card,Regular,"$119,299.81","$59,649.90",,
118,Serum,Protection,9066.89,4,2022-04-05,Lagos,TRUE,31,Male,Debit Card,Regular,"$36,267.56","$18,133.78",,
119,Serum,Treatment,10227.64,4,2023-10-12,Kano,FALSE,51,Female,Debit Card,New,"$40,910.56","$20,455.28",,
120,Serum,Hydration,15601.88,10,2022-03-24,Abuja,FALSE,51,Male,Cash,Regular,"$156,018.80","$78,009.40",,
121,Moisturizer,Treatment,5793.26,10,2022-11-24,Port Harcourt,TRUE,36,Male,Cash,Regular,"$57,932.60","$28,966.30",,
122,Cleanser,Hydration,16428.76,1,2023-07-13,Lagos,TRUE,42,Female,Cash,New,"$16,428.76","$8,214.38",,
123,Sunscreen,Hydration,16619.81,9,2023-05-30,Lagos,TRUE,52,Male,Credit Card,Regular,"$149,578.29","$74,789.15",,
124,Serum,Protection,8929.4,4,2023-10-06,Port Harcourt,TRUE,36,Female,Credit Card,Regular,"$35,717.60","$17,858.80",,
125,Sunscreen,Treatment,18411.14,8,2023-11-22,Abuja,FALSE,57,Male,Cash,Regular,"$147,289.12","$73,644.56",,
126,Moisturizer,Treatment,2346.64,6,2023-10-15,Ibadan,TRUE,43,Male,Credit Card,Regular,"$14,079.84","$7,039.92",,
127,Face Mask,Protection,16391.83,1,2023-02-27,Port Harcourt,FALSE,43,Male,Debit Card,Regular,"$16,391.83","$8,195.92",,
128,Face Mask,Treatment,10232.18,7,2022-01-13,Lagos,FALSE,52,Male,Cash,Regular,"$71,625.26","$35,812.63",,
129,Cleanser,Anti-Aging,6799.46,1,2023-01-14,Port Harcourt,FALSE,51,Female,Cash,New,"$6,799.46","$3,399.73",,
130,Sunscreen,Anti-Aging,12739.6,3,2022-05-15,Ibadan,TRUE,34,Male,Credit Card,New,"$38,218.80","$19,109.40",,
131,Face Mask,Anti-Aging,7065.81,6,2023-05-26,Lagos,FALSE,30,Female,Credit Card,New,"$42,394.86","$21,197.43",,
132,Moisturizer,Protection,13394.4,8,2023-11-19,Kano,TRUE,20,Male,Cash,New,"$107,155.20","$53,577.60",,
133,Serum,Anti-Aging,18401.12,2,2022-03-11,Kano,TRUE,37,Female,Credit Card,New,"$36,802.24","$18,401.12",,
134,Cleanser,Treatment,11812.5,8,2023-12-13,Lagos,TRUE,26,Female,Debit Card,Regular,"$94,500.00","$47,250.00",,
135,Serum,Anti-Aging,13119.92,2,2022-06-30,Abuja,FALSE,53,Male,Cash,New,"$26,239.84","$13,119.92",,
136,Face Mask,Cleansing,8905.33,4,2023-03-20,Port Harcourt,TRUE,63,Female,Cash,Regular,"$35,621.32","$17,810.66",,
137,Face Mask,Anti-Aging,16135.59,1,2023-07-07,Abuja,FALSE,20,Female,Credit Card,Regular,"$16,135.59","$8,067.80",,
138,Face Mask,Protection,17383.25,6,2022-02-19,Kano,FALSE,29,Female,Debit Card,New,"$104,299.50","$52,149.75",,
139,Face Mask,Hydration,7980.93,4,2023-12-19,Port Harcourt,FALSE,36,Female,Credit Card,Regular,"$31,923.72","$15,961.86",,
140,Moisturizer,Protection,10270.83,8,2022-02-16,Port Harcourt,FALSE,42,Female,Credit Card,New,"$82,166.64","$41,083.32",,
141,Cleanser,Treatment,18030.69,7,2023-04-05,Lagos,FALSE,60,Female,Debit Card,Regular,"$126,214.83","$63,107.42",,
142,Moisturizer,Treatment,9812.63,10,2022-11-19,Kano,TRUE,47,Male,Debit Card,Regular,"$98,126.30","$49,063.15",,
143,Cleanser,Cleansing,4977.23,10,2023-11-04,Port Harcourt,FALSE,33,Male,Cash,New,"$49,772.30","$24,886.15",,
144,Face Mask,Protection,13848.87,2,2023-08-26,Port Harcourt,TRUE,57,Female,Credit Card,Regular,"$27,697.74","$13,848.87",,
145,Face Mask,Protection,14948.47,5,2023-11-02,Abuja,FALSE,64,Male,Debit Card,Regular,"$74,742.35","$37,371.18",,
146,Moisturizer,Hydration,13401.19,2,2023-05-04,Port Harcourt,TRUE,35,Male,Debit Card,Regular,"$26,802.38","$13,401.19",,
147,Cleanser,Cleansing,4931.37,4,2023-09-04,Lagos,FALSE,42,Female,Debit Card,Regular,"$19,725.48","$9,862.74",,
148,Face Mask,Anti-Aging,19254.66,8,2023-11-12,Ibadan,FALSE,56,Female,Debit Card,New,"$154,037.28","$77,018.64",,
149,Serum,Protection,1131.05,1,2022-07-12,Kano,FALSE,51,Female,Credit Card,Regular,"$1,131.05",$565.52,,
150,Cleanser,Anti-Aging,18141.16,6,2023-11-20,Lagos,FALSE,61,Female,Debit Card,Regular,"$108,846.96","$54,423.48",,
151,Cleanser,Cleansing,2703.21,8,2022-07-20,Lagos,TRUE,42,Male,Debit Card,Regular,"$21,625.68","$10,812.84",,
152,Sunscreen,Anti-Aging,16904.8,3,2022-07-06,Abuja,TRUE,60,Female,Debit Card,Regular,"$50,714.40","$25,357.20",,
153,Moisturizer,Anti-Aging,11529.91,6,2022-02-04,Port Harcourt,TRUE,46,Female,Credit Card,New,"$69,179.46","$34,589.73",,
154,Moisturizer,Cleansing,12464.92,6,2023-02-27,Port Harcourt,FALSE,48,Male,Debit Card,New,"$74,789.52","$37,394.76",,
155,Face Mask,Hydration,16415.86,2,2023-04-17,Port Harcourt,FALSE,36,Male,Credit Card,New,"$32,831.72","$16,415.86",,
156,Face Mask,Hydration,5996.52,6,2022-06-21,Lagos,FALSE,33,Female,Credit Card,Regular,"$35,979.12","$17,989.56",,
157,Sunscreen,Treatment,1758.99,7,2022-12-22,Lagos,TRUE,20,Male,Credit Card,Regular,"$12,312.93","$6,156.46",,
158,Cleanser,Hydration,3627.46,5,2022-12-02,Abuja,TRUE,38,Male,Debit Card,Regular,"$18,137.30","$9,068.65",,
159,Face Mask,Treatment,3002.41,1,2022-04-24,Abuja,TRUE,27,Female,Cash,Regular,"$3,002.41","$1,501.20",,
160,Face Mask,Anti-Aging,4332.71,6,2022-02-07,Port Harcourt,TRUE,62,Male,Cash,New,"$25,996.26","$12,998.13",,
161,Sunscreen,Hydration,19262.42,4,2022-09-30,Port Harcourt,TRUE,45,Male,Credit Card,Regular,"$77,049.68","$38,524.84",,
162,Sunscreen,Hydration,4686.54,2,2022-07-08,Lagos,TRUE,63,Male,Credit Card,New,"$9,373.08","$4,686.54",,
163,Moisturizer,Protection,7311.43,4,2022-01-22,Port Harcourt,FALSE,36,Female,Debit Card,Regular,"$29,245.72","$14,622.86",,
164,Serum,Treatment,14153.71,4,2023-11-22,Ibadan,TRUE,31,Male,Credit Card,Regular,"$56,614.84","$28,307.42",,
165,Cleanser,Treatment,14175.86,1,2022-02-26,Abuja,TRUE,37,Female,Debit Card,New,"$14,175.86","$7,087.93",,
166,Moisturizer,Hydration,6436.03,10,2022-12-31,Lagos,FALSE,21,Male,Credit Card,New,"$64,360.30","$32,180.15",,
167,Cleanser,Hydration,6683.27,6,2023-07-30,Abuja,FALSE,59,Male,Debit Card,Regular,"$40,099.62","$20,049.81",,
168,Serum,Protection,9169.12,9,2023-01-22,Abuja,TRUE,31,Female,Credit Card,New,"$82,522.08","$41,261.04",,
169,Face Mask,Hydration,8269.95,1,2022-10-20,Port Harcourt,FALSE,29,Male,Cash,Regular,"$8,269.95","$4,134.98",,
170,Moisturizer,Hydration,18229.51,2,2022-10-18,Port Harcourt,TRUE,25,Male,Credit Card,New,"$36,459.02","$18,229.51",,
171,Moisturizer,Protection,11160.46,7,2023-06-08,Kano,FALSE,52,Female,Credit Card,Regular,"$78,123.22","$39,061.61",,
172,Moisturizer,Protection,12540.74,6,2022-04-25,Abuja,TRUE,39,Female,Debit Card,New,"$75,244.44","$37,622.22",,
173,Face Mask,Cleansing,10583.09,7,2023-04-10,Ibadan,TRUE,32,Female,Debit Card,New,"$74,081.63","$37,040.82",,
174,Sunscreen,Hydration,10583.8,2,2022-06-09,Ibadan,TRUE,19,Male,Cash,New,"$21,167.60","$10,583.80",,
175,Moisturizer,Treatment,9049.38,5,2022-10-19,Kano,TRUE,24,Male,Cash,Regular,"$45,246.90","$22,623.45",,
176,Cleanser,Anti-Aging,5133.16,6,2023-06-18,Lagos,FALSE,55,Female,Cash,Regular,"$30,798.96","$15,399.48",,
177,Cleanser,Treatment,7065.75,10,2022-05-29,Ibadan,TRUE,37,Male,Credit Card,Regular,"$70,657.50","$35,328.75",,
178,Moisturizer,Cleansing,5590.78,8,2023-06-06,Ibadan,FALSE,19,Male,Debit Card,Regular,"$44,726.24","$22,363.12",,
179,Cleanser,Treatment,1021.9,7,2023-12-12,Lagos,TRUE,62,Male,Debit Card,New,"$7,153.30","$3,576.65",,
180,Moisturizer,Hydration,5252.53,6,2023-09-02,Abuja,TRUE,30,Female,Cash,New,"$31,515.18","$15,757.59",,
181,Face Mask,Protection,19414.13,4,2023-08-12,Port Harcourt,FALSE,33,Female,Credit Card,Regular,"$77,656.52","$38,828.26",,
182,Cleanser,Hydration,9215.65,1,2022-02-25,Kano,FALSE,25,Female,Debit Card,Regular,"$9,215.65","$4,607.82",,
183,Sunscreen,Hydration,19302.84,2,2022-01-01,Port Harcourt,TRUE,25,Male,Debit Card,Regular,"$38,605.68","$19,302.84",,
184,Face Mask,Treatment,5860.58,1,2023-07-08,Lagos,FALSE,43,Female,Debit Card,Regular,"$5,860.58","$2,930.29",,
185,Serum,Cleansing,3573.18,5,2023-06-17,Ibadan,FALSE,18,Female,Cash,Regular,"$17,865.90","$8,932.95",,
186,Face Mask,Hydration,11689.25,8,2022-02-13,Ibadan,FALSE,33,Female,Debit Card,Regular,"$93,514.00","$46,757.00",,
187,Cleanser,Cleansing,9231.74,9,2022-05-21,Port Harcourt,FALSE,46,Male,Debit Card,New,"$83,085.66","$41,542.83",,
188,Moisturizer,Protection,17394.99,1,2023-07-28,Kano,TRUE,28,Female,Cash,Regular,"$17,394.99","$8,697.50",,
189,Serum,Hydration,18394.06,1,2023-01-01,Kano,FALSE,64,Female,Credit Card,Regular,"$18,394.06","$9,197.03",,
190,Cleanser,Treatment,12747.87,10,2023-08-14,Kano,TRUE,35,Female,Debit Card,New,"$127,478.70","$63,739.35",,
191,Face Mask,Cleansing,16977.68,10,2022-09-06,Port Harcourt,FALSE,50,Female,Debit Card,New,"$169,776.80","$84,888.40",,
192,Moisturizer,Cleansing,6476.85,2,2023-04-11,Kano,FALSE,47,Male,Cash,New,"$12,953.70","$6,476.85",,
193,Face Mask,Hydration,18083.44,9,2022-12-27,Abuja,FALSE,64,Female,Credit Card,New,"$162,750.96","$81,375.48",,
194,Moisturizer,Protection,3680.96,4,2023-08-23,Kano,FALSE,64,Female,Cash,Regular,"$14,723.84","$7,361.92",,
195,Serum,Hydration,3696.42,9,2022-01-16,Port Harcourt,FALSE,47,Female,Cash,Regular,"$33,267.78","$16,633.89",,
196,Sunscreen,Anti-Aging,12011.78,1,2022-12-12,Port Harcourt,TRUE,20,Male,Debit Card,Regular,"$12,011.78","$6,005.89",,
197,Moisturizer,Hydration,19905.39,4,2023-12-31,Ibadan,TRUE,39,Male,Debit Card,New,"$79,621.56","$39,810.78",,
198,Moisturizer,Anti-Aging,11136.12,9,2023-12-25,Lagos,TRUE,30,Female,Cash,New,"$100,225.08","$50,112.54",,
199,Cleanser,Cleansing,3441.7,2,2023-03-20,Ibadan,TRUE,50,Female,Cash,New,"$6,883.40","$3,441.70",,
200,Serum,Protection,4365.27,1,2023-02-01,Ibadan,TRUE,62,Female,Cash,Regular,"$4,365.27","$2,182.64",,
201,Cleanser,Protection,15716.46,9,2022-02-24,Abuja,FALSE,63,Female,Debit Card,New,"$141,448.14","$70,724.07",,
